student_id,minutes_watched,paid_in_q2
1595,102.67,1
1598,65.70,1
1598,65.70,1
1598,65.70,1
1598,65.70,1
1598,65.70,1
1598,65.70,1
1598,65.70,1
1598,65.70,1
1600,33.55,1
1600,33.55,1
1605,173.90,1
1606,5.58,1
1606,5.58,1
1615,3.43,1
1633,13.15,1
1638,706.90,1
1638,706.90,1
1644,135.07,1
1649,3.95,1
1651,71.73,1
1652,322.45,1
1653,247.07,1
1658,159.55,1
1667,23.18,1
1669,259.42,1
1678,470.62,1
1680,1.63,1
1683,1078.18,1
1686,0.13,1
1688,1802.93,1
1693,149.95,1
1695,385.35,1
1701,678.78,1
1702,1.10,1
1705,606.20,1
1710,18.63,1
1711,138.65,1
1713,86.83,1
1713,86.83,1
1732,319.33,1
1732,319.33,1
1732,319.33,1
1732,319.33,1
1732,319.33,1
1732,319.33,1
1733,230.23,1
1737,168.85,1
1739,109.30,1
1745,119.62,1
1759,133.38,1
1765,432.42,1
1773,415.48,1
1773,415.48,1
1773,415.48,1
1776,1695.52,1
1778,887.55,1
1784,0.13,1
1784,0.13,1
1790,1340.68,1
1792,89.05,1
1794,188.13,1
1795,139.98,1
1801,3.00,1
1802,0.45,1
1820,104.48,1
1823,1499.22,1
1825,487.42,1
1825,487.42,1
1827,1.60,1
1835,1386.55,1
1841,23.65,1
1841,23.65,1
1841,23.65,1
1841,23.65,1
1841,23.65,1
1849,81.85,1
1852,587.97,1
1852,587.97,1
1862,2.70,1
1863,118.35,1
1864,454.95,1
1864,454.95,1
1866,1084.68,1
1867,6.07,1
1880,94.98,1
1881,130.05,1
1896,1058.63,1
1896,1058.63,1
1896,1058.63,1
1897,189.57,1
1897,189.57,1
1898,308.87,1
1900,59.20,1
1900,59.20,1
1902,133.83,1
1902,133.83,1
1902,133.83,1
1908,47.42,1
1909,6.38,1
1911,109.73,1
1911,109.73,1
1914,305.90,1
1917,30.47,1
1917,30.47,1
1917,30.47,1
1917,30.47,1
1918,395.67,1
1932,51.77,1
1935,3.50,1
1938,326.12,1
1939,423.62,1
1945,23.15,1
1947,185.17,1
1950,214.77,1
1957,304.40,1
1959,259.47,1
1959,259.47,1
1959,259.47,1
1960,276.38,1
1977,994.55,1
1977,994.55,1
1977,994.55,1
1977,994.55,1
1993,144.38,1
1994,216.18,1
1994,216.18,1
2003,93.12,1
2010,85.78,1
2018,215.30,1
2019,39.82,1
2022,21.32,1
2026,65.10,1
2051,161.57,1
2054,1562.08,1
2055,53.47,1
2055,53.47,1
2055,53.47,1
2056,55.85,1
2058,0.42,1
2058,0.42,1
2058,0.42,1
2064,232.02,1
2066,1085.98,1
2078,10.13,1
2078,10.13,1
2078,10.13,1
2078,10.13,1
2078,10.13,1
2079,4.47,1
2081,706.77,1
2081,706.77,1
2084,0.40,1
2091,2258.58,1
2092,848.05,1
2093,496.12,1
2093,496.12,1
2093,496.12,1
2093,496.12,1
2093,496.12,1
2099,250.57,1
2104,44.12,1
2106,1.98,1
2108,304.30,1
2112,2237.68,1
2113,43.52,1
2113,43.52,1
2113,43.52,1
2114,696.33,1
2118,554.62,1
2120,581.67,1
2130,92.05,1
2130,92.05,1
2135,16.83,1
2136,1209.87,1
2149,604.18,1
2149,604.18,1
2149,604.18,1
2154,223.72,1
2157,4.47,1
2157,4.47,1
2160,51.12,1
2162,114.65,1
2167,709.68,1
2170,3.30,1
2170,3.30,1
2170,3.30,1
2170,3.30,1
2185,965.85,1
2187,643.38,1
2188,856.53,1
2190,419.65,1
2190,419.65,1
2195,403.48,1
2207,332.40,1
2213,38.28,1
2217,64.05,1
2218,1005.17,1
2222,10.15,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2229,574.57,1
2231,131.42,1
2233,330.63,1
2236,18.37,1
2236,18.37,1
2248,1398.23,1
2255,17.92,1
2256,41.97,1
2258,1077.97,1
2265,90.55,1
2266,81.12,1
2266,81.12,1
2267,92.40,1
2274,368.78,1
2274,368.78,1
2275,0.25,1
2278,0.67,1
2284,135.93,1
2284,135.93,1
2290,220.47,1
2292,8.50,1
2295,12.08,1
2303,19.08,1
2303,19.08,1
2303,19.08,1
2303,19.08,1
2303,19.08,1
2303,19.08,1
