purchase_id,student_id,plan_id,date_start,date_end,date_refunded
458,20701,2,2020-04-14,2021-04-14,NULL
459,3631,2,2020-04-14,2021-04-14,NULL
460,7381,2,2020-04-14,2021-04-14,NULL
461,25173,0,2020-04-14,2020-05-14,NULL
462,25173,0,2020-04-14,2020-05-14,NULL
463,8600,2,2020-04-14,2021-04-14,NULL
464,22943,0,2020-04-14,2020-05-14,NULL
465,13464,2,2020-04-14,2021-04-14,NULL
466,12857,2,2020-04-14,2021-04-14,NULL
467,877,2,2020-04-14,2021-04-14,NULL
468,1602,2,2020-04-14,2021-04-14,NULL
469,3618,2,2020-04-14,2021-04-14,NULL
470,3684,2,2020-04-14,2021-04-14,NULL
471,8673,2,2020-04-14,2021-04-14,NULL
472,50305,2,2020-04-14,2021-04-14,NULL
473,1935,2,2020-04-14,2021-04-14,NULL
474,36339,2,2020-04-14,2021-04-14,NULL
475,31769,0,2020-04-14,2020-05-14,NULL
476,22911,0,2020-04-14,2020-05-14,NULL
484,26601,2,2020-04-14,2021-04-14,NULL
485,31628,2,2020-04-14,2021-04-14,NULL
486,12890,2,2020-04-14,2021-04-14,NULL
487,34822,2,2020-04-14,2021-04-14,NULL
488,30944,2,2020-04-14,2021-04-14,NULL
489,12589,2,2020-04-14,2021-04-14,NULL
490,998,2,2020-04-14,2021-04-14,NULL
491,3840,2,2020-04-14,2021-04-14,NULL
492,2223,2,2020-04-14,2021-04-14,NULL
493,37860,2,2020-04-14,2021-04-14,NULL
494,2262,2,2020-04-14,2021-04-14,NULL
495,5943,2,2020-04-14,2021-04-14,NULL
496,4560,2,2020-04-14,2021-04-14,NULL
497,12159,2,2020-04-14,2021-04-14,NULL
500,1818,2,2020-04-14,2021-04-14,NULL
501,5340,2,2020-04-14,2021-04-14,NULL
502,2684,2,2020-04-14,2021-04-14,NULL
503,3858,2,2020-04-14,2021-04-14,NULL
504,25674,2,2020-04-15,2021-04-15,NULL
505,959,2,2020-04-15,2021-04-15,NULL
506,7194,0,2020-04-15,2020-05-15,NULL
507,2409,2,2020-04-15,2021-04-15,NULL
508,824,2,2020-04-15,2021-04-15,NULL
509,23287,2,2020-04-15,2021-04-15,NULL
510,2819,2,2020-04-15,2021-04-15,NULL
511,23498,2,2020-04-15,2021-04-15,NULL
512,20523,2,2020-04-15,2021-04-15,NULL
513,54946,2,2020-04-15,2021-04-15,NULL
514,89035,2,2020-04-15,2021-04-15,NULL
515,14347,2,2020-04-15,2021-04-15,NULL
516,18554,0,2020-04-15,2020-05-15,NULL
517,11661,0,2020-04-15,2020-05-15,NULL
518,7495,2,2020-04-15,2021-04-15,NULL
